what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1417461738982
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1417461738982
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1417461738982
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1417461738983
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1417461738983
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1417461738983
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1417461738984
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1417461738984
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1417461738984
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1417461738985
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1417461738985
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1417461738986
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1417461738986
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1417461738986
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1417461738986
os,sysinfo,,,"win32",1417461738988
arch,sysinfo,,,"x86",1417461738988
ws,sysinfo,,,"win32",1417461738988
locale,sysinfo,,,"es_CR",1417461738988
processors,sysinfo,,,"8",1417461738988
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1417461738988
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1417461738988
java.specification.name,sysinfo,,,"Java Platform API Specification",1417461738988
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417461738988
java.specification.version,sysinfo,,,"1.6",1417461738988
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1417461738988
java.version,sysinfo,,,"1.6.0_23",1417461738988
java.vm.info,sysinfo,,,"mixed mode",1417461738988
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1417461738988
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1417461738988
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417461738988
java.vm.specification.version,sysinfo,,,"1.0",1417461738988
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1417461738988
java.vm.version,sysinfo,,,"19.0-b09",1417461738988
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1417461739868
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417461740539
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1417461749426
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1417461749499
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1417461749501
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1417461756803
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1417461757519
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1417461757564
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1417461757564
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1417461757565
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417461757704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461757886
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1417461795808
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1417461795919
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1417461797243
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1417461798692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461803427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.showSystemMenu",1417461814602
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417461817462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461835182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461836659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461838310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461852319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461854088
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1417461856138
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1417461856157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461870573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1417461870578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461870836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461870872
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1417461873781
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1417461873787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461877957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417461888502
