what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417471393850
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417471395407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471396549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471396571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471396577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471398046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471402245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471410357
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1417471420895
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417471421601
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1417471424539
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417471442369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417471447758
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417471448486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471451036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417471452434
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1417471456378
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417471457078
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x9030, /cygdrive/c/Users/jgonzalez/Dropbox/proyecto_final_prototipado/ProyectoFinal/software/Final/Final.elf] return code: 134",1417471461056
error,log,,,"Downloading ELF Process failed",1417471461060
