what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1417468765355
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1417468765355
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1417468765355
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1417468765357
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1417468765357
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1417468765357
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1417468765358
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1417468765358
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1417468765359
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1417468765359
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1417468765360
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1417468765361
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1417468765361
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1417468765361
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1417468765362
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1417468765362
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1417468765362
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1417468765363
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1417468765363
os,sysinfo,,,"win32",1417468765365
arch,sysinfo,,,"x86",1417468765365
ws,sysinfo,,,"win32",1417468765365
locale,sysinfo,,,"es_CR",1417468765365
processors,sysinfo,,,"8",1417468765365
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1417468765365
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1417468765365
java.specification.name,sysinfo,,,"Java Platform API Specification",1417468765365
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417468765365
java.specification.version,sysinfo,,,"1.6",1417468765365
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1417468765365
java.version,sysinfo,,,"1.6.0_23",1417468765365
java.vm.info,sysinfo,,,"mixed mode",1417468765365
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1417468765365
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1417468765365
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417468765365
java.vm.specification.version,sysinfo,,,"1.0",1417468765365
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1417468765365
java.vm.version,sysinfo,,,"19.0-b09",1417468765365
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1417468765493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468768621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468805127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468808221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468810381
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1417468811632
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1417468811669
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1417468811672
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417468811721
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417468811914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468815492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468820566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1417468826337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417468839447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417468845382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417468846850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468847724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417468853798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417468857169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417469258731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417469267550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417469269629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417469270960
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1417469271011
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417469271045
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1417469271170
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1417469271228
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1417469271265
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1417469271266
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1417469271267
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1417469271267
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1417469271268
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1417469271268
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1417469271268
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1417469271268
